Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
HONDA,ACCORD,FULL-SIZE,2.0,4.0,M6,X,10.7,7.3,9.2,31.0,214.0
JAGUAR,F-PACE 30T,SUV - SMALL,2.0,4.0,AS8,Z,10.9,8.7,9.9,29.0,232.0
FORD,FIESTA SFE,SUBCOMPACT,1.6,4.0,AS6,X,8.0,5.8,7.0,40.0,161.0
AUDI,A8L,FULL-SIZE,3.0,6.0,AS8,Z,12.5,8.6,10.8,26.0,252.0
RAM,1500 ETORQUE,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,999.0,9.4,10.8,26.0,253.0
INFINITI,Q60S RED SPORT AWD,SUBCOMPACT,3.0,6.0,AS7,Z,12.5,9.2,11.0,26.0,259.0
MITSUBISHI,MIRAGE,COMPACT,1.2,3.0,AV,X,6.4,5.3,5.9,48.0,139.0
JEEP,WRANGLER UNLIMITED 4X4 ETORQUE,SUV - SMALL,3.6,6.0,A8,X,12.6,10.7,11.8,24.0,276.0
PORSCHE,BOXSTER,TWO-SEATER,2.0,4.0,M6,Z,11.0,8.3,9.8,29.0,229.0
FORD,FOCUS (START/STOP),COMPACT,1.0,3.0,M6,X,7.9,5.9,7.0,40.0,164.0
TOYOTA,SIENNA,MINIVAN,3.5,6.0,AS8,X,12.5,8.9,10.9,26.0,256.0
CHEVROLET,TRAX,SUV - SMALL,1.4,4.0,M6,X,9.2,7.1,8.2,34.0,194.0
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4.0,M6,X,8.0,6.2,7.2,39.0,167.0
BMW,M6 GRAN COUPE,COMPACT,4.4,8.0,M6,Z,16.2,10.9,13.8,20.0,324.0
BMW,650I XDRIVE CABRIOLET,SUBCOMPACT,4.4,8.0,AS8,Z,14.7,9.6,12.4,23.0,292.0
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6.0,AM7,Z,13.3,9.1,11.4,25.0,266.0
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.7,6.0,A6,E,20.2,15.3,18.0,16.0,288.0
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.0,6.0,AM7,Z,11.1,8.5,9.9,29.0,232.0
AUDI,Q7,SUV - STANDARD,2.0,4.0,AS8,Z,12.2,9.5,11.0,26.0,258.0
INFINITI,QX60 AWD,SUV - SMALL,3.5,6.0,AV7,Z,12.2,8.9,10.7,26.0,252.0
FORD,F-150 FFV 4X4 (PAYLOAD PKG),PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,16.8,12.4,14.8,19.0,347.0
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2.0,4.0,M5,X,9.9,7.2,8.7,32.0,203.0
MINI,COOPER S COUNTRYMAN ALL4,MID-SIZE,2.0,4.0,M6,Z,11.3,7.8,9.7,29.0,228.0
FORD,SHELBY GT350 MUSTANG,SUBCOMPACT,5.2,8.0,M6,Z,17.2,11.3,14.6,19.0,341.0
VOLVO,V60 CC T5 AWD,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.8,7.7,9.4,30.0,220.0
GMC,CANYON 4WD,PICKUP TRUCK - SMALL,3.6,6.0,A6,X,13.5,9.8,11.8,24.0,271.0
HYUNDAI,TUCSON AWD,SUV - SMALL,2.0,4.0,AS6,X,11.0,9.1,10.2,28.0,241.0
MERCEDES-BENZ,AMG G 65,SUV - STANDARD,6.0,12.0,AS7,Z,24.3,17.9,21.4,13.0,476.0
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.0,6.0,AM7,Z,11.5,9.1,10.4,27.0,243.0
DODGE,DURANGO AWD SRT,SUV - STANDARD,6.4,8.0,A8,Z,18.3,12.2,15.6,18.0,363.0
ALFA ROMEO,STELVIO AWD QUADRIFOGLIO,SUV - SMALL,2.9,6.0,A8,Z,14.1,10.4,12.4,23.0,292.0
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12.0,AM7,Z,23.8,14.1,19.4,15.0,454.0
BMW,M240I XDRIVE CABRIOLET,SUBCOMPACT,3.0,6.0,AS8,Z,11.4,7.8,9.8,29.0,228.0
BMW,320I,COMPACT,2.0,4.0,M6,Z,10.4,6.7,8.7,32.0,200.0
CADILLAC,ATS AWD,COMPACT,2.0,4.0,AS6,Z,11.8,8.1,10.1,28.0,232.0
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5.0,8.0,AS8,Z,16.6,12.3,14.7,19.0,344.0
HONDA,ODYSSEY,MINIVAN,3.5,6.0,A6,X,12.3,8.5,10.6,27.0,244.0
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,14.9,10.6,13.0,22.0,299.0
BMW,X6 XDRIVE35I,SUV - STANDARD,3.0,6.0,AS8,Z,13.0,9.8,11.5,25.0,270.0
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8.0,A8,X,15.8,10.9,13.6,21.0,319.0
LEXUS,GS 350 F SPORT,MID-SIZE,3.5,6.0,AS8,Z,12.5,8.6,10.7,26.0,251.0
KIA,RIO,COMPACT,1.6,4.0,M6,X,8.8,6.4,7.7,37.0,179.0
NISSAN,MAXIMA,MID-SIZE,3.5,6.0,AV7,Z,11.1,7.8,9.6,29.0,225.0
TOYOTA,YARIS,COMPACT,1.5,4.0,AS6,X,7.2,5.6,6.4,44.0,151.0
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4.0,AS6,X,12.1,10.1,11.2,25.0,263.0
FORD,FOCUS FFV,COMPACT,2.0,4.0,AS6,X,9.2,6.6,8.0,35.0,189.0
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8.0,A6,Z,16.3,11.4,14.1,20.0,324.0
MERCEDES-BENZ,AMG C 63 COUPE,SUBCOMPACT,4.0,8.0,AS7,Z,13.8,10.1,12.1,23.0,285.0
CADILLAC,ATS AWD,COMPACT,3.6,6.0,AS8,X,12.2,8.6,10.6,27.0,248.0
LAMBORGHINI,VENENO ROADSTER,TWO-SEATER,6.5,12.0,AM7,Z,22.1,13.9,18.4,15.0,423.0
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6.0,M7,Z,12.9,9.2,11.2,25.0,262.0
VOLKSWAGEN,GOLF SPORTWAGEN 4MOTION,STATION WAGON - SMALL,1.8,4.0,AM6,X,10.8,8.1,9.6,29.0,224.0
GMC,SIERRA 4WD AT4,PICKUP TRUCK - STANDARD,6.2,8.0,A10,Z,15.7,12.4,14.2,20.0,332.0
NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6.0,AV7,X,11.2,8.3,9.9,29.0,232.0
BUICK,LACROSSE AWD,MID-SIZE,3.6,6.0,AS8,X,11.6,8.1,10.0,28.0,235.0
LEXUS,ES 300H,MID-SIZE,2.5,4.0,AV6,X,5.5,5.2,5.3,53.0,124.0
MERCEDES-BENZ,S 550 4MATIC COUPE,COMPACT,4.7,8.0,AS7,Z,14.4,9.8,12.3,23.0,289.0
GMC,YUKON,SUV - STANDARD,5.3,8.0,A6,X,16.0,11.1,13.8,20.0,317.0
PORSCHE,PANAMERA 4S,FULL-SIZE,2.9,6.0,AM8,Z,11.3,8.5,10.1,28.0,235.0
LEXUS,IS 250,COMPACT,2.5,6.0,AS6,Z,11.1,7.8,9.6,29.0,221.0
VOLKSWAGEN,ATLAS 4MOTION,SUV - SMALL,3.6,6.0,AS8,X,13.7,10.1,12.1,23.0,282.0
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12.0,AS8,Z,20.7,12.7,17.1,17.0,400.0
AUDI,S4,COMPACT,3.0,6.0,AS8,Z,11.3,8.0,9.8,29.0,230.0
HONDA,ACCORD,FULL-SIZE,1.5,4.0,M6,X,8.9,6.7,7.9,36.0,185.0
BMW,X4 M,SUV - SMALL,3.0,6.0,AS8,Z,16.6,12.1,14.6,19.0,339.0
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8.0,A6,Z,18.8,13.4,16.4,17.0,377.0
ACURA,RDX AWD,SUV - SMALL,2.0,4.0,AS10,Z,11.0,8.6,9.9,29.0,232.0
PORSCHE,CAYMAN,TWO-SEATER,2.7,6.0,AM7,Z,10.7,7.4,9.2,31.0,212.0
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6.0,A8,E,19.4,13.6,16.8,17.0,269.0
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,23.0,16.0,19.8,14.0,465.0
BMW,528I XDRIVE,MID-SIZE,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209.0
DODGE,VIPER SRT,TWO-SEATER,8.4,10.0,M6,Z,19.2,11.3,15.6,18.0,364.0
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8.0,A6,Z,16.8,11.7,14.5,19.0,334.0
SUBARU,WRX,COMPACT,2.0,4.0,M6,Z,11.1,8.3,9.8,29.0,225.0
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8.0,A6,X,15.8,11.1,13.7,21.0,321.0
JAGUAR,F-TYPE S COUPE,TWO-SEATER,3.0,6.0,AS8,Z,12.5,8.7,10.8,26.0,254.0
HONDA,ACCORD COUPE,MID-SIZE,3.5,6.0,AS6,X,11.4,7.3,9.5,30.0,223.0
JAGUAR,F-TYPE R AWD COUPE,TWO-SEATER,5.0,8.0,AS8,Z,15.6,10.4,13.3,21.0,311.0
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8.0,A4,X,18.6,13.9,16.5,17.0,380.0
GMC,SIERRA 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6.0,A6,E,20.3,15.3,18.1,16.0,301.0
KIA,OPTIMA HYBRID EX,MID-SIZE,2.4,4.0,AS6,X,6.7,6.0,6.4,44.0,147.0
GMC,SAVANA 1500 CARGO,VAN - CARGO,5.3,8.0,A4,X,18.0,13.4,15.9,18.0,366.0
CADILLAC,CTS,MID-SIZE,3.6,6.0,AS8,X,12.8,8.2,10.7,26.0,246.0
BMW,X3 XDRIVE30I,SUV - SMALL,2.0,4.0,AS8,Z,10.8,8.0,9.6,29.0,223.0
HONDA,PASSPORT AWD,SUV - SMALL,3.5,6.0,AS9,X,12.5,9.8,11.3,25.0,265.0
KIA,SEDONA SXL,MINIVAN,3.3,6.0,AS6,X,14.1,10.5,12.5,23.0,296.0
CHEVROLET,SONIC RS,COMPACT,1.4,4.0,M6,X,8.9,6.9,8.0,35.0,184.0
CHEVROLET,EQUINOX AWD,SUV - SMALL,2.0,4.0,A9,Z,10.9,8.3,9.7,29.0,228.0
FORD,MUSTANG (PERFORMANCE PKG),SUBCOMPACT,2.3,4.0,M6,X,11.8,8.4,10.3,27.0,240.0
HYUNDAI,SANTA FE AWD,SUV - SMALL,3.3,6.0,AS6,X,13.0,9.7,11.5,25.0,269.0
TOYOTA,SIENNA,MINIVAN,3.5,6.0,AS8,X,12.5,8.9,10.9,26.0,255.0
MERCEDES-BENZ,C 300 4MATIC COUPE,SUBCOMPACT,2.0,4.0,AS7,Z,10.4,8.0,9.3,30.0,218.0
MERCEDES-BENZ,AMG SL 65,TWO-SEATER,6.0,12.0,AS7,Z,17.6,10.8,14.5,19.0,340.0
VOLKSWAGEN,GOLF GTI,COMPACT,2.0,4.0,AM6,Z,9.5,7.2,8.5,33.0,196.0
CADILLAC,XTS VSPORT AWD,FULL-SIZE,3.6,6.0,AS6,Z,15.0,10.3,12.8,22.0,299.0
CHEVROLET,TRAVERSE AWD,SUV - STANDARD,3.6,6.0,A6,X,16.0,10.9,13.7,21.0,322.0
BMW,M240I XDRIVE COUPE,SUBCOMPACT,3.0,6.0,AS8,Z,11.2,7.8,9.7,29.0,227.0
TOYOTA,YARIS,COMPACT,1.5,4.0,AS6,X,7.3,5.8,6.6,43.0,155.0
AUDI,A8,MID-SIZE,3.0,6.0,AS8,Z,12.6,8.0,10.5,27.0,242.0
MERCEDES-BENZ,AMG GLC 43 4MATIC,SUV - SMALL,3.0,6.0,A9,Z,12.5,9.6,11.2,25.0,262.0
MERCEDES-BENZ,C 350,COMPACT,3.5,6.0,AS7,Z,12.0,8.6,10.5,27.0,242.0
SUBARU,IMPREZA 4-DOOR AWD,MID-SIZE,2.0,4.0,AV7,X,8.3,6.4,7.5,38.0,174.0
SMART,FORTWO CABRIOLET,TWO-SEATER,0.9,3.0,AM6,Z,7.5,6.1,6.9,41.0,157.0
BMW,X5 XDRIVE35I,SUV - STANDARD,3.0,6.0,AS8,Z,13.0,9.8,11.5,25.0,270.0
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6.0,AS6,X,16.2,12.8,14.7,19.0,346.0
LEXUS,GS 350,MID-SIZE,3.5,6.0,AS8,Z,12.1,8.3,10.4,27.0,239.0
CHEVROLET,CRUZE,MID-SIZE,1.8,4.0,AS6,X,10.5,6.7,8.8,32.0,202.0
GMC,SAVANA 1500 CARGO AWD,VAN - CARGO,5.3,8.0,A4,X,18.3,14.2,16.5,17.0,380.0
GMC,TERRAIN,SUV - SMALL,1.6,4.0,A6,D,8.5,6.0,7.4,38.0,198.0
MAZDA,CX-9,SUV - SMALL,3.7,6.0,AS6,X,14.2,10.0,12.3,23.0,283.0
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6.0,AM7,Z,11.6,8.4,10.1,28.0,238.0
RAM,1500 4X4,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,14.6,10.1,12.6,22.0,290.0
FORD,MUSTANG,SUBCOMPACT,3.7,6.0,AS6,X,12.8,8.9,11.1,25.0,259.0
PORSCHE,CAYENNE GTS,SUV - STANDARD,4.8,8.0,A8,Z,16.7,11.5,14.4,20.0,338.0
VOLVO,S90 T6 AWD,MID-SIZE,2.0,4.0,AS8,Z,10.8,7.6,9.4,30.0,219.0
BMW,228I CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.4,7.1,8.9,32.0,205.0
DODGE,DURANGO AWD,SUV - STANDARD,3.6,6.0,A8,X,12.7,9.6,11.3,25.0,265.0
BMW,650I XDRIVE GRAN COUPE,COMPACT,4.4,8.0,A8,Z,15.0,9.8,12.7,22.0,292.0
HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4.0,AM7,X,9.7,7.4,8.6,33.0,205.0
DODGE,CHALLENGER SRT DEMON,MID-SIZE,6.2,8.0,A8,Z,17.6,10.7,14.5,19.0,339.0
HYUNDAI,ELANTRA GT,FULL-SIZE,2.0,4.0,AS6,X,9.4,7.1,8.4,34.0,200.0
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4.0,M5,X,12.2,10.4,11.4,25.0,268.0
INFINITI,QX50 AWD,SUV - SMALL,2.0,4.0,AV8,Z,10.8,8.3,9.7,29.0,228.0
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6.0,AS9,Z,12.6,9.0,11.0,26.0,259.0
BMW,X2 XDRIVE28I,SUV - SMALL,2.0,4.0,AS8,Z,11.0,7.7,9.5,30.0,222.0
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8.0,AS8,Z,15.8,10.2,13.3,21.0,306.0
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8.0,A10,X,14.3,10.6,12.6,22.0,296.0
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12.0,AS8,Z,18.8,11.8,15.6,18.0,367.0
FORD,TAURUS FFV,FULL-SIZE,3.5,6.0,AS6,X,12.2,8.2,10.4,27.0,239.0
CHEVROLET,BLAZER,SUV - SMALL,2.5,4.0,A9,X,10.8,8.8,9.9,29.0,232.0
CADILLAC,XT5 AWD,SUV - SMALL,3.6,6.0,AS8,X,12.9,8.9,11.1,25.0,260.0
ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.5,11.4,14.7,19.0,345.0
MAZDA,CX-30,SUV - SMALL,2.0,4.0,AS6,X,8.9,7.1,8.1,35.0,189.0
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8.0,A6,X,23.0,16.0,19.8,14.0,465.0
